"Reference","Value","Footprint","Qty","DNP","MPN","Manufacturer"
"C1,C6","4.7uF","Capacitor_SMD:C_0805_2012Metric","2","","885012207053","Wurth Elektronik "
"C2,C4","47pF","Capacitor_SMD:C_0805_2012Metric","2","","885012007032 ","Wurth Elektronik "
"C3,C5","100nF","Capacitor_SMD:C_0805_2012Metric","2","","885012207098","Wurth Elektronik "
"C7","270pF/2kV","Capacitor_SMD:C_1206_3216Metric","1","","C1206C271MGRACTU","KEMET"
"C8","10uF","Capacitor_SMD:C_0805_2012Metric","1","","885012107004","Wurth Elektronik "
"C9","22uF","Capacitor_SMD:C_0805_2012Metric","1","","885012107005","Wurth Elektronik "
"D1","Rx","LED_SMD:LED_0805_2012Metric","1","","150080YS75000","Wurth Elektronik "
"D2","Tx","LED_SMD:LED_0805_2012Metric","1","","150224GS73100","Wurth Elektronik "
"D3","SM712_SOT23","Package_TO_SOT_SMD:SOT-23","1","","SM712-02HTG","Littelfuse"
"D4","PWR","LED_SMD:LED_0805_2012Metric","1","","150080RS75000","Wurth Elektronik "
"J1","USB_C_Receptacle_USB2.0_16P","Connector_USB:USB_C_Receptacle_GCT_USB4110","1","","USB4110-GF-A ","GCT "
"J2","3.3 LVL 5","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1","","77311-127-03LF","Amphenol FCI"
"J3","7-pin con","Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Vertical","1","","10129379-907001BLF","Amphenol FCI"
"Q1","BC857","Package_TO_SOT_SMD:SOT-23","1","","BC857BW-7-F","Diodes Incorporated"
"R1,R2","27R","Resistor_SMD:R_0805_2012Metric","2","","CR0805-FX-27R0ELF","Bourns"
"R3,R4","5k1","Resistor_SMD:R_0805_2012Metric","2","","560112120019","Würth Elektronik"
"R5,R6,R8,R9,R16","1k","Resistor_SMD:R_0805_2012Metric","5","","CR0805-FX-1001ELF","Bourns"
"R7,R11,R12,R13","10k","Resistor_SMD:R_0805_2012Metric","4","","560112120004 ","Würth Elektronik"
"R10,R14","100R","Resistor_SMD:R_0805_2012Metric","2","","560112120020","Würth Elektronik"
"R15","120R","Resistor_SMD:R_0805_2012Metric","1","","CHP0805AFX-1200ELF","Bourns"
"U1","FT230XQ","Package_DFN_QFN:QFN-16-1EP_4x4mm_P0.65mm_EP2.1x2.1mm","1","","FT230XQ-R ","FTDI"
"U2,U3","EL817","Package_DIP:SMDIP-4_W9.53mm","2","","DPC817S-B-TR","Diodes Incorporated"
"U4","DC-DC","Converter_DCDC:Converter_DCDC_TRACO_TEA1-xxxx_THT","1","","TEA 1-0505 ","TRACO Power"
"U5","AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1","","LM1117MPX-3.3/NOPB ","Texas Instruments "
"U6","SN75176","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1","","SN75176BDR ","Texas Instruments "
